Model,R_Square,RMSE,AIC,BIC
EXL2,0.99875627898411,0.0547795888846134,-526.506084240188,-511.375352777894
EXL3,0.998108219900082,0.0675604616474608,-487.920315277456,-472.789583815162
Dual,0.968391430317645,0.282658075173016,-220.856591717911,-195.638705947421
