Model,R_Square,RMSE,AIC,BIC
EXL2,-0.120192814612374,0.219364477717548,-89.3623262108743,-80.5679107940759
EXL3,-1.04424525360008,0.291183275390332,-70.1134357841865,-61.3190203673882
Dual,0.0299912522243694,0.22048605722903,-85.9687587098747,-71.3113996818774
