Model,R_Square,RMSE,AIC,BIC
EXL2,0.997670384793141,0.0192489998830044,-774.241695292945,-758.670976192138
EXL3,0.997325843534986,0.0206233627476629,-760.586537799944,-745.015818699136
Dual,0.993358542019526,0.0332077074750131,-662.526482892106,-636.57528439076
